IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Aging Room,AVO,Casa de Garcia,Casa de Garcia,,,Caldwell Blind Man's Bluff Maduro,Bering Sabor Especial,Arturo Fuente Hemingway,Alec Bradley Tempus Nicaragua,Alec Bradley Connecticut,Arturo Fuente Hemingway
CFO,BACCARAT,Casa de Puros,Casa de Puros,,,Caldwell Blind Man's Bluff Nicaragua,Big and Beefy,Arturo Fuente OpusX,Alec Bradley Texas Lancero,Alec Bradley Coyol,Arturo Fuente New Baby
Private Stock,Baccarat,Casa de Sueños,Casa de Sueños,,,Caldwell Blind Mans Bluff,Big and Beefy Cigars,Arturo Fuente OpusX 20th,Alec Bradley The Lineage,Alec Bradley Family Blend Lineage,Arturo Fuente Seleccion D'Oro
A.J. Fernandez,Baccarat,Casa del Tabaco,Casa del Tabaco,,,Caldwell Eastern Standard,Big and Beefy Connecticut,Arturo Fuente OpusX Angels Share,Alec Bradley V2L Black,Alec Bradley Filthy Hooligan,Arturo Fuente Sun Grown
Sinistro Cigars,Baccarat,Casa Magna,Casa Magna,,,Caldwell Long Live the King,Big and Beefy Mas Fuerte,Arturo Fuente OpusX Forbidden,Alec Bradley White Gold,Alec Bradley Fine and Rare,Ashton
Finck,Baccarat,Casa Turrent,Casa Turrent,,,Caldwell Long Live the King Mad Mofo,Black & Mild Cigars,Arturo Fuente OpusX Heaven and Earth,Alta Gracia,Alec Bradley It's A Boy/Girl,Ashton Aged Maduro
Speakeasy,Back2Back,Casa Turrent Serie 1901,,,,CALDWELL LOST & FOUND,Black Abyss,Arturo Fuente OpusX OXO Oro Oscuro,Amati,Alec Bradley Magic Toast,Ashton Cabinet Selection
Remington,Back2Back,CasaMontez Sun Grown,CasaMontez,,,CALDWELL LOST & FOUND,Black Abyss Cigars,Arturo Fuente OpusX Story,Arganese Cigars,Alec Bradley Maxx,Ashton Classic
MCW (My Cuban Wheel),BACKWOODS,Casdagli,Casdagli,,,Caldwell Savages,Black Abyss Connecticut,Arturo Fuente OpusX The Lost City,Arganese Connecticut,Alec Bradley Medalist,Ashton Classic New Baby
La Tradicion Cubana,Backwoods,Case Study,Case Study,,,Caldwell The King Is Dead,Black Abyss Nicaragua,Arturo Fuente Oro Rosado,Arganese Habano,Alec Bradley Mundial,Ashton Estate Sun Grown
Flor de los Reyes,Bahia,Cavalier,Cavalier,,,Caldwell The King is Dead Escape Plan,Black Label Trading Co. Bishops Blend,Arturo Fuente Rare Pink Vintage 1960's Series,Arganese Il Mezzo,Alec Bradley Nica Puro,Ashton Heritage Puro Sol
Pacific Twyst Cigars,Balmoral,Cavalier Geneve,Cavalier Geneve,,,CAMACHO,Black Label Trading Co. Last Rites,Arturo Fuente Rosado Sun Grown,Arganese Maduro,Alec Bradley Nica Puro Rosado,Ashton Small Cigars
Foundation Cigar Co.,Baracoa Cigar Company,CC,CC,,,Camacho American Barrel-Aged,Black Label Trading Co. Lawless,Arturo Fuente Samplers,Arturo Fuente Chateau Fuente Series,Alec Bradley Occidental Reserve,Ashton Symmetry
Galiano,Belinda,Cedar Room,Cedar Room,,,Camacho BXP,Black Label Trading Co. Memento Mori,Arturo Fuente Sun Grown,Arturo Fuente Chateau Fuente Series Sun Grown,Alec Bradley Post Embargo,Ashton Virgin Sun Grown
Oliveros,Benavides,Cheyenne,Cheyenne,,,Camacho Connecticut,Black Label Trading Co. Morphine,Arturo Fuente Un-Named Reserva,Arturo Fuente Cigars,Alec Bradley Prensado,Aspira
Casa de Entrada (formerly Cigarcia),Bering,Chillin' Moose,Chillin' Moose,,,Camacho Corojo,Black Label Trading Co. Salvation,Ashton Aged Maduro,Arturo Fuente Don Carlos,Alec Bradley Prensado Lost Art,Asylum
Little Havana Cigars,Best Sellers,Chogui,Chogui,,,Camacho Coyolar,Black Label Trading Co. Santa Muerte,Ashton Cabinet,Arturo Fuente Gran Reserva,Alec Bradley Project 40,Asylum 13
La Paloma (Thompson),Big and Beefy,Cibao,Cibao,,,Camacho Criollo,Black Label Trading Co. Super Deluxe,Ashton Classic,Arturo Fuente Hemingway,Alec Bradley Project 40 Maduro,Asylum 13 Connecticut
Lochem,BLACK & MILD,CLE,CLE,,,Camacho Distillery Edition,Black Label Trading Company Cigars,Ashton Estate Sun Grown,Ashton,Alec Bradley Tempus,Asylum 13 Corojo
Bidwell Blend,Black & Mild,CLE Chaparros,,,,Camacho Ecuador,Black Works Studio,Ashton Small Cigars,Ashton Aged Maduro,Alec Bradley Tempus Nicaragua,Asylum 13 The OGRE
King's Court,Black Abyss,Cohiba,Cohiba,,,Camacho Ecuador,Black Works Studio Boondock Saint,Ashton Symmetry,Ashton Cabinet Selection,Alec Bradley Texas Lancero,Asylum 9
Famous,Black Label Trading,Cojimar,Cojimar,,,Camacho Nicaragua,Black Works Studio Green Hornet,Ashton VSG,Ashton Cigars,Alec Bradley Trilogy,Asylum Insidious
Smokin' Sandwich,BLACK LABEL TRADING CO,Consuegra,Consuegra,,,Camacho Nicaraguan Barrel-Aged,Black Works Studio Hyena,Asylum,Ashton ESG,Ambrosia,Asylum Lobotomy
Jenuwine,Black Label Trading Co.,Cornelius & Anthony,Cornelius & Anthony,,,Camacho Triple Maduro,Black Works Studio Intergalactic,Asylum 13,Ashton Heritage Puro Sol,Ambrosia,Asylum Lobotomy Corojo
Cain (See Oliva/ Studio Tabac),Black Label Trading Company,Crafted By,Crafted By,,,CAO,Black Works Studio Killer Bee,Asylum 13 Authentic Corojo,Ashton Small Cigars,American Stogies,Asylum Nyctophilia
Marsh Wheeling,Black Star Line,Crowned Heads,Crowned Heads,,,CAO Amazon,Black Works Studio NBK,Asylum 13 Connecticut,Ashton Symmetry,American Stogies,Asylum Pandemonium
