IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Cisso,,,,,,KRISTOFF,Genuine Pre-Embargo Counterfeit Cuban,,,Secret Blend of Cuba,
Casa de Alegria,,,,,,Kristoff Cameroon,Gilberto Oliva Reserva,,,Secret Blend of Cuba,
Roberto,,,,,,Kristoff Connecticut,Gilberto Oliva Reserva Blanc,,,Sin Compromiso,
Don Kiki,,,,,,Kristoff Corojo Limitada,Gispert,,,Sin Compromiso,
Double Happiness,,,,,,Kristoff Criollo,Gispert Cigars,,,Sindicato,
Cigar Bundles of Miami,,,,,,Kristoff GC Signature Series,Gispert Intenso,,,Sindicato Affinity,
Dutch Delites,,,,,,Kristoff Habano,God of Fire Angelenos,,,Sindicato Affinity Maduro,
Adipati,,,,,,Kristoff Ligero,God of Fire by Carlito,,,Sindicato Cubico,
Monteria,,,,,,Kristoff Maduro,God of Fire by Don Carlos,,,Sindicato Natural,
Delicados (Augusto Reyes),,,,,,Kristoff San Andres,God of Fire Cigars,,,Sindicato Particulares,
Cuban Bullet (by Perdomo),,,,,,Kristoff Shade Grown,God of Fire Sencillo Platinum,,,Sosa,
ORTSAC,,,,,,Kristoff Shade Grown,God of Fire Serie Aniversario,,,60 By Sosa,
Bar and Books,,,,,,Kristoff Vengeance,God of Fire Serie B,,,Sosa Auric Perfectum,
Juan Lopez,,,,,,La Antiguedad,Gold Rush Filtered Cigars,,,Sosa Classic,
Falto,,,,,,LA AROMA DE CUBA,Good Times #HD Cigarillos,,,Sosa Classic,
Frothy Monkey,,,,,,La Aroma de Cuba Edicion Especial,Good Times 4 K's Cigarillos,,,Sosa Classic Connecticut,
Antonio y Cleopatra,,,,,,La Aroma de Cuba Mi Amor,Good Times Cigars,,,Sosa Classic Maduro,
St. Croix,,,,,,La Aroma de Cuba Mi Amor Reserva,Gran Habano #1 Connecticut,,,Sosa Exclusive Maduro,
Havana Cigar Company,,,,,,La Aroma de Cuba Noblesse,Gran Habano #3 Habano,,,Sosa Exclusive Natural,
Honduran Overruns (JR Cigars),,,,,,La Aroma de Cuba Pasion,Gran Habano #5 Corojo,,,Sosa Family Selection,
Bonita Smoke Shop,,,,,,LA AURORA,Gran Habano #5 Maduro,,,Sosa Imperio Cubano Miami Maduro,
Peter Stokkebye,,,,,,La Aurora 107,Gran Habano Blue in Green,,,Sosa Imperio Cubano Miami Maduro,
Christo 1886,,,,,,La Aurora 107 Nicaragua,Gran Habano Cigars,,,Sosa Imperio Cubano Miami Natural,
Nicarao,,,,,,La Aurora 107 Nicaragua,Gran Habano Gran Reserva #5,,,Sosa Limitado,
One-N-Done,,,,,,La Aurora 1903 Edition,Grand Marnier,,,Sosa Super Selection,
Proprietary Cigar Co.,,,,,,La Aurora 1962 Corojo,Guardian Of The Farm,,,Sosa Super Selection,
Para Ti,,,,,,La Aurora 1985 Maduro,Guardian Of The Farm Night Watch,,,Southern Draw,
829,,,,,,La Aurora 1987 Connecticut,Gurkha 5-Packs,,,Southern Draw 300 Hands Connecticut,
Viva Republica,,,,,,La Aurora Cameroon,Gurkha Aged Cabinet,,,Southern Draw 300 Hands Habano,
Casa Copan,,,,,,La Aurora Especiales,Gurkha Cafe Tabac,,,Southern Draw 300 Hands Maduro,
Chaveta,,,,,,La Aurora Preferido,Gurkha Cellar Reserve,,,Southern Draw Cedrus,
Henry Clay,,,,,,LA CAPITANA,Gurkha Chateau de Prive,,,Southern Draw Firethorn,
La Regional,,,,,,La Coalicion,Gurkha Cigars,,,Southern Draw Jacobs Ladder,
La Torre de Madero,,,,,,La Duena,Gurkha Colorado,,,Southern Draw Kudzu,
Stogie Castillo,,,,,,LA ESTRELLA CUBANA,Gurkha Founders Select,,,Southern Draw Manzanita,
Paradiso (San Cristobal),,,,,,LA FINCA,Gurkha Ghost Gold,,,Southern Draw Quickdraw Connecticut,
AZ,,,,,,LA FINCA,Gurkha His Majesty's Reserve,,,Southern Draw Quickdraw Habano,
Medina,,,,,,La Flor de Ynclan,Gurkha Marquesa,,,Southern Draw Rose of Sharon,
Spirit of Art (Cuba Rica Tabacalera),,,,,,LA FLOR DOMINICANA,Gurkha Master Select OVB,,,Tabacos Baez,
C.C.I. Royal Satin Selection,,,,,,La Flor Dominicana 2000,Gurkha Red Witch,,,Tabacos Baez Serie SF,
Hoffman House,,,,,,La Flor Dominicana 20th Anniversary 1994,H. Upmann 175 Anniversary,,,Tabak Especial,
Tobacanary,,,,,,La Flor Dominicana Air Bender,H. Upmann 1844 Anejo,,,Tabak Especial Dulce,
Figurados,,,,,,La Flor Dominicana Cameroon Cabinet,H. Upmann 1844 Classic,,,Tabak Especial Negra,
J&R Famous,,,,,,La Flor Dominicana Double Claro,H. Upmann 1844 Reserve,,,Tabernacle,
Special Jamaican,,,,,,La Flor Dominicana Double Ligero,H. Upmann Anejados,,,Tabernacle Havana Seed CT,
Bonaparte,,,,,,La Flor Dominicana LFD Suave,H. Upmann by AJ Fernandez,,,The Tabernacle,
Perla del Mar,,,,,,La Flor Dominicana Ligero,H. Upmann Cigars,,,Tampa Trolleys,
Villega Reales,,,,,,La Flor Dominicana Reserva Especial,H. Upmann Connecticut by Grupo de Maestros,,,Tampa Trolleys,
Crossfire,,,,,,La Flor Dominicana Seconds,H. Upmann Connoisseur,,,Tatascan,
Fletcher Cigar Company,,,,,,la fontana ,H. Upmann Crafted By AJ Fernandez,,,Tatascan Connecticut,
Cattle Baron,,,,,,LA GALERA,H. Upmann Golden Nicaragua,,,Tatascan Habano,
"EIROA Cigars (Salud, Amor y Pesetas)",,,,,,LA GLORIA CUBANA,H. Upmann Herman's Batch,,,Tatascan Yellow Series,
Orinoco 1613,,,,,,La Gloria Cubana Esteli,H. Upmann Hispaniola By Jose Mendez,,,Tatiana,
Argopuro,,,,,,La Gloria Cubana Medio Tiempo,H. Upmann Nicaragua Heritage by AJ Fernandez,,,Tatiana Amaretto,
Cibao,,,,,,La Gloria Cubana Serie R,H. Upmann Original,,,Tatiana Cherry,
Hombre de Oro,,,,,,la gloria cubana serie r esteli ,H. Upmann Reserve Maduro,,,Tatiana Chocolate,
Smokin',,,,,,La Gloria Cubana Spanish Press,H. Upmann Special Seleccion,,,Tatiana Coffee Break Corretto,
Fleur de la Reine,,,,,,La Gloria Cubana White Box,H. Upmann The Banker,,,Tatiana Cognac,
BOTL,,,,,,la gloria serie r black ,H. Upmann Vintage Cameroon,,,Tatiana Harvest Moon,
La Flor de Ynclan,,,,,,la historia ,Habanitos by Don Lino,,,Tatiana Honey,
Diamante,,,,,,la imperiosa ,Hambones,,,Tatiana Mandarin,
Caridad,,,,,,la palina ,Hamlet 25th Year Anniversary,,,Tatiana Rum,
Rodrigo,,,,,,M by Macanudo,Harvester & Co.,,,Tatiana Trio Fusion Frenzy,
Cabo Rojo,,,,,,M by Macanudo,Hav-A-Tampa Jewels,,,Tatiana Trio Groovy Blue,
Caonao,,,,,,MACANUDO,Havana Q by Quorum,,,Tatiana Trio Night Cap,
Cuba Rica Tabacalera,,,,,,Macanudo Cabinet Collection,Head Hunter by MJ Frias,,,Tatiana Trio Sweet Euphoria,
Don Gonzalez,,,,,,Macanudo Cafe,Headley Grange,,,Tatiana Trio Waking Dream,
Action,,,,,,Macanudo Cru Royale,Headley Grange Black Dog,,,Tatiana Vanilla,
La Duena (Janny Garcia),,,,,,Macanudo Gold,Heisenberg by Quesada,,,Tatuaje,
Lucero,,,,,,Macanudo Heritage Nuevo,Helix,,,Tatuaje Actors Series,
Cedar Joe,,,,,,Macanudo Inspirado Black,Henry Clay,,,Tatuaje Anarchy,
Don Miguel,,,,,,Macanudo Inspirado Green,Henry Clay Cigars,,,Tatuaje Avion,
Berger & Argenti,,,,,,Macanudo Inspirado Orange,Henry Clay Honduran,,,Tatuaje Black Label,
As You Like It,,,,,,Macanudo Inspirado Red,Henry Clay Rustic Cheroot,,,Tatuaje Cabaiguan Guapos Maduro,
Dominican Nude Bundles (Best Cigar Prices),,,,,,Macanudo Inspirado Red,Henry Clay War Hawk,,,Tatuaje Cabaiguan Guapos Natural,
Magus (Armando Ramos),,,,,,Macanudo Inspirado White,Henry Clay War Hawk Rebellious,,,Tatuaje El Triunfador Broadleaf,
Big Shots,,,,,,Macanudo M Bourbon,Herrera Esteli,,,Tatuaje Escasos,
Senor Bonilla,,,,,,Macanudo Maduro,Herrera Esteli Brazilian Maduro,,,Tatuaje Fausto,
Juliany,,,,,,Macanudo Rare Select,Herrera Esteli Habano,,,Tatuaje Havana VI,
Carey's,,,,,,Macanudo Vintage 2010,Herrera Esteli JR 50th Anniversary,,,Tatuaje Havana VI Verocu,
La Casta,,,,,,MAGNA ASHTRAYS,Herrera Esteli Miami Edition,,,Tatuaje La Riqueza,
Urbano,,,,,,Malditos Bastardos,Herrera Esteli Norteno,,,Tatuaje Little Hassells,
Father & Son Cigars,,,,,,MAN GEAR,Honduran Factory Corojos,,,Tatuaje ME II,
Rustico Habano,,,,,,MAN O WAR,Hoyo de Monterrey,,,Tatuaje Mexican Experiment,
WB Brand,,,,,,Marsh Wheeling,Hoyo de Monterrey Certified Vintage,,,Tatuaje Miami 15th Anniversary Claro,
Guillermo Leon (by La Aurora),,,,,,MAXIMILIAN,Hoyo Epicure Seleccion,,,Tatuaje Miami 15th Anniversary Oscuro,
Flor de Carbonell,,,,,,Medici by Alec Bradley,Hoyo La Amistad Black,,,Tatuaje Miami Seleccion del Cazador,
Pigtail,,,,,,MEHARIS,Hoyo La Amistad Dark Sumatra,,,Tatuaje Monsters Series,
Aruba,,,,,,Metropolitan Connecticut,Hoyo La Amistad Gold,,,Tatuaje Negociant,
Fuma Dominica Especial,,,,,,Metropolitan Habano,Hoyo La Amistad Silver,,,Tatuaje Nicaragua,
Captaris,,,,,,Metropolitan Host Connecticut,HVC Cigars,,,Tatuaje Nuevitas,
Rafael Gonzalez (Cuban),,,,,,Metropolitan Host Maduro,HVC Edicion Especial,,,Tatuaje T110,
Papayo,,,,,,Metropolitan Maduro,Illusione,,,Tatuaje TAA,
McCranies House Brand,,,,,,Mi Querida,Illusione Candela 88,,,Tatuaje Tattoo,
CF Dominicana,,,,,,Mi Querida Triqui Traca,Illusione Cigars,,,Te Amo,
Ether,,,,,,Mil Dias,Illusione Cruzado,,,Te Amo Maduro,
House of Gaspar,,,,,,MISC. CIGAR ASHTRAYS,Illusione Epernay,,,The American,
Dutch Treats,,,,,,MISC. CIGAR CUTTERS,Illusione Fume D'Amour,,,The American,
Aladino (Julio R. Eiroa),,,,,,misc. humidification accessories brand ,Illusione Garagiste,,,The Circus,
Jaxsin,,,,,,MISTER B.,Illusione Haut 10,,,The Circus by El Viejo Continente,
Miranda,,,,,,Monte by Montecristo,Illusione OneOff,,,The Griffin's,
Benedit,,,,,,Monte by Montecristo by AJ Fernandez,Illusione Original Documents,,,The Griffin's Classic,
Wolf Brothers,,,,,,MONTECRISTO,Illusione Ultra,,,The Repeater,
Al Capone,,,,,,Montecristo 1935 Anniversary Nicaragua,INCH C-99 by E.P. Carrillo,,,The Repeater,
King David,,,,,,montecristo classic ,INCH Limitada by E.P. Carrillo,,,Toscano,
Hight,,,,,,Montecristo Epic,INCH Maduro by E.P. Carrillo,,,Toscanello,
Rancho Dominicano,,,,,,Montecristo Epic Vintage 12 Blue,INCH Natural by E.P. Carrillo,,,Toscano 1492,
Shrouded Crown,,,,,,montecristo grand exhibition ,INCH Ring Master by E. P. Carrillo,,,Toscano Antica Riserva,
Don Benigno,,,,,,montecristo nicaragua ,Insidious by Asylum,,,Toscano Antico,
Phillips & King,,,,,,montecristo original line ,Isla del Sol,,,Toscano Classico,
Hoyo de Casa,,,,,,montecristo platinum ,J.D. Howard Reserve,,,Toscano Duecento,
ESQ,,,,,,Nat Cicco Aniversario 1965,J&R Famous,,,Toscano Extra Vecchio,
Chinnock Cellars,,,,,,Nat Cicco Elephant Ears,Jackpot,,,Toscano Garibaldi,
New Cuba,,,,,,NATIONAL,Jaime Garcia Reserva Especial,,,Toscano Modigliani,
Rodriguez,,,,,,Negociant Monopole,Jamon,,,Toscano Nobile,
Royales,,,,,,NEOS,Jas Sum Kral Cigars,,,Toscano Originale,
Martinez/Bazukas,,,,,,NESTOR MIRANDA,Jas Sum Kral Kralot,,,Toscano Stilnovo,
Cienfuegos (Reyes),,,,,,NEW CUBA,Jas Sum Kral Red Knight,,,Trader Jack's,
Bloodline,,,,,,New World by A.J. Fernandez,Jas Sum Kral Toothpick 2.0,,,Trader Jack's,
Habanos Esplendidos,,,,,,NICA LIBRE,JDN Numero Uno,,,Trinidad,
Bon Bon (Cuba Tobacco Cigar Co.),,,,,,Nica Rustica Broadleaf,Jericho Hill,,,Trinidad Espiritu,
El Grande Miguel,,,,,,NICARAGUAN,JFR Connecticut,,,Trinidad Espiritu Series No. 2,
Casa de Garcia,,,,,,NICARAGUAN,JFR Corojo,,,VegaFina,
Brazil TrÃ¼llerie,,,,,,Nimmy D,JFR Lunatic,,,VegaFina,
Luna Azul,,,,,,NINO VASQUEZ,JFR Lunatic JR 50th Anniversary,,,VegaFina 1998,
Havana Night Club,,,,,,NORDING,JFR Lunatic Loco Maduro,,,VegaFina Limited Edition,
Cerdan,,,,,,NUB,JFR Lunatic Torch,,,VegaFina Sumum 2010,
The Famous Rum Runner,,,,,,Nub Nuance,JFR Maduro,,,VegaFina Year of the Tiger New,
Tampa Tobacco Company,,,,,,OBA OBA - BY PERDOMO,JFR XT,,,Villa Zamorano,
Club Sweets,,,,,,Occidental Reserve by Alec Bradley,Jose Marti,,,Villa Zamorano,
Senorial by Jose Blanco (Las Cumbres Tabaco),,,,,,ODYSSEY,Jose Marti Cigars,,,Villa Zamorano Reserva,
Madrigal,,,,,,Odyssey Coffee,Jose Marti Dominican,,,Villiger,
Don Nobody (Corona Cigar Co.),,,,,,Odyssey Full,Jose Marti Honduras,,,Villiger Cuellar Black Forest,
T.N.J. Smokin' Spirits,,,,,,Odyssey Sweet Tip,Joya Black,,,Villiger Cuellar Connecticut Kreme,
Hoja Cubana,,,,,,OLIVA,Joya de Nicaragua Antano,,,Villiger Export,
La Flor de Cuba,,,,,,Oliva Connecticut Reserve,Joya de Nicaragua Antano 1970 Shut The Box,,,Villiger La Flor de Ynclan,
Solo Aroma,,,,,,Oliva Flor de Oliva,Joya de Nicaragua Antano Connecticut,,,Villiger La Flor de Ynclan,
Cooperstown,,,,,,Oliva Master Blends 3,Joya de Nicaragua Antano Dark Corojo,,,Villiger La Vencedora,
Epicurean Cigars,,,,,,Oliva Master Blends 3,Joya de Nicaragua Antano Gran Reserva,,,Villiger Premium No. 6,
Nueva Matacapan,,,,,,Oliva Serie G,Joya de Nicaragua Cabinetta Serie,,,Villiger San'Doro Claro,
Cuban Honeys,,,,,,Oliva Serie O,Joya Red,,,Villiger San'Doro Colorado,
Cuenca,,,,,,Oliva Serie V,Joya Silver,,,Villiger TAA,
Signet,,,,,,Oliva Serie V Maduro Especial,JR 45th Anniversary Series,,,Villiger TAA,
Enanos,,,,,,Oliva Serie V Melanio,JR 50th Anniversary Products,,,Villiger TAA,
Bayamo,,,,,,Oliva Serie V Melanio Maduro,JR Alternative,,,Viva La Vida,
Tabanero,,,,,,OMAR ORTEZ ORIGINAL,JR Alternative Cigars,,,Viva La Vida,
Oldies But Goodies,,,,,,One Night Stand,JR Alternative Mystery Bundles,,,Warfighter Tobacco,
Alejandro Lopez,,,,,,ONYX,JR Confidential Bundles,,,Warfighter .50 Cal Field Maduro,
Mendez Y Lopez,,,,,,Onyx Bold Nicaragua,JR Confidential Purple,,,Warfighter 5.56 MM Field,
Flor del Sol,,,,,,OPUS X,JR Confidential Silver,,,Warped,
Solo Cafe,,,,,,ORLEANS,JR Cuban Alternative,,,Warped Chinchalle,
La Primera,,,,,,ORLEANS,JR Edicion Limitada Alternative,,,Warped Companion,
Don Marcos,,,,,,OSCAR VALLADARES,JR Esteli Reserva,,,Warped Corto,
United Cigar,,,,,,PADRON,JR Master Series,,,Warped Don Reynaldo,
Dos Rios,,,,,,Padron Anniversario Serie 1926,JR Special Corona,,,Warped Flor del Valle,
Fanning`s,,,,,,Padron Anniversario Serie 1964,JR Tradicion Cigars,,,Warped La Colmena,
La Prueba,,,,,,Padron Damaso,JR Tradicion Dominicana,,,Warped La Hacienda,
Quetzal (Dom),,,,,,Padron Family Reserve,JR Tradicion Nicaragua,,,Warped La Hacienda,
El Sarare,,,,,,PALIO,JR Ultimate,,,Warped La Relatos,
Frank Herrera,,,,,,PALMA REAL,JR Ultimate 50th Anniversary,,,Warped Lirio Rojo,
Especiales,,,,,,PANTER,JR Ultimate by Rocky Patel,,,Warped Maestro del Tiempo,
American Eagle (USA),,,,,,PARODI,JSK Tyrannical Buc,,,Warped Nicotina,
Dante,,,,,,PARTAGAS,Kentucky,,,Warped Serie Gran Reserva 1988,
Lucky Cigar,,,,,,PARTAGAS,Kentucky Fire Cured,,,Wynwood Hills,
CyB (formerly Cuenca y Blanco),,,,,,Partagas 1845 Clasico,Kentucky Fire Cured Swamp Thang,,,Wynwood Hills Deranged,
Vega Fina (DR),,,,,,Partagas 1845 Extra Fuerte,Kentucky Fire Cured Sweets,,,Wynwood Hills Mayhem,
Correvon,,,,,,Partagas 1845 Extra Oscuro,King Edward,,,Wynwood Hills Unhinged,
J.C. Newman,,,,,,Partagas Black Label,King Edward Filtered Cigars,,,Zino,
J&D,,,,,,Partagas Cortado,Knuckle Sandwich,,,Zino Platinum Crown Series,
MoyaRuiz Cigars,,,,,,Partagas Decadas,Kristoff Cameroon,,,Zino Platinum Exclusive Series,
Cigars Direct,,,,,,Partagas Heritage,Kristoff Cigars,,,Zino Platinum Scepter Series,
Ricardo Turrent,,,,,,Partagas Legend,Kristoff Classic Reserva,,,,
La Tanita,,,,,,Partagas Yellow Box,Kristoff Connecticut,,,,
Bugatti,,,,,,PAUL GARMIRIAN,Kristoff Corojo Limitada,,,,
Fake Cuban Cohiba,,,,,,PDR,Kristoff GC Signature Series,,,,
Bellero,,,,,,PDR 1878 Roast Cafe,Kristoff Habano,,,,
Angry Elf,,,,,,PDR 1878 Roast Cafe,Kristoff Kristania,,,,
Don Jacinto,,,,,,PDR 1878 Santiago,Kristoff Kristania Maduro,,,,
Jamiaca Legacy,,,,,,Pepper Cream Soda San Andres,Kristoff Ligero Criollo,,,,
Profesor Sila,,,,,,PERDOMO,Kristoff Ligero Maduro,,,,
Jordan Alexander III,,,,,,Perdomo 12 Year Vintage,Kristoff Original Criollo,,,,
Canela,,,,,,Perdomo 20th Anniversary,Kristoff Original Maduro,,,,
Samurai,,,,,,Perdomo ESV,Kristoff Pistoff,,,,
Fidalgro Negro,,,,,,Perdomo Fresco,Kristoff San Andres,,,,
Nicaraguan Overruns (JR Cigars),,,,,,Perdomo Habano,Kristoff Sumatra,,,,
Flor Real,,,,,,Perdomo Habano Bourbon Barrel Aged,Kristoff Vengeance,,,,
Anna Maria,,,,,,Perdomo Inmenso Seventy,L'Atelier,,,,
Amante,,,,,,Perdomo Lot 23,L'Atelier Cigars,,,,
Eterno (by Perdomo),,,,,,Perdomo Nicks Sticks,L'Atelier Extension de La Racine,,,,
Don Porfirio,,,,,,perdomo reserve 10th anniversary box~pressed ,L'Atelier Identite,,,,
Stallone Cigars,,,,,,Perdomo Reserve 10th Anniversary Champagne,L'Atelier Selection Speciale,,,,
Bella Cuba,,,,,,PERLA DEL MAR,La Aroma de Cuba,,,,
La Marinita,,,,,,Perritos by MJ Frias,La Aroma de Cuba Cigars,,,,
De Cossio,,,,,,PHILLIES,La Aroma de Cuba Edicion Especial,,,,
Bombardier,,,,,,Pistoff Kristoff,La Aroma de Cuba Mi Amor,,,,
NEOS,,,,,,plasencia ,La Aroma de Cuba Mi Amor Reserva,,,,
Thomas Hinds,,,,,,Plasencia Alma Del Campo,La Aroma de Cuba Noblesse,,,,
Luis Gonzaga,,,,,,Plasencia Alma Del Fuego,La Aroma de Cuba Pasión,,,,
Montalvo,,,,,,plasencia alma fuerte ,La Aurora 107,,,,
Senor Solomon,,,,,,plasencia cosecha 146 ,La Aurora 107 Nicaragua,,,,
Noxio Cigars,,,,,,plasencia reserva original organica ,La Aurora 115th Anniversary,,,,
Dominican Overruns (Holts),,,,,,pledge by e.p. carrillo ,La Aurora Cigars,,,,
Golden Sun,,,,,,QUALITY,La Aurora Dominican ADN,,,,
Pride of Copan,,,,,,QUESADA,La Aurora Excepcionales,,,,
Grand Nica,,,,,,Quesada 40th Anniversary,La Aurora Preferidos,,,,
Gispert,,,,,,Quesada Oktoberfest,La Barba Purple,,,,
Oud Kampen,,,,,,Quesada Tributo,La Flor Dominicana Double Ligero,,,,
Sancti Spiritus,,,,,,QUINTERO,La Flor Dominicana Ligero,,,,
Presumidos (Thompson),,,,,,QUORUM,La Flor Dominicana Ligero Cabinet,,,,
Farm To Factory,,,,,,Quorum Maduro,La Flor Dominicana Oro,,,,
Buho Cigars,,,,,,Quorum Shade,La Flor Dominicana Reserva Especial,,,,
Hoyo de Honduras,,,,,,RAMROD,La Fontana,,,,
Viking Cigars,,,,,,REINADO,La Galera Cigars,,,,
Archive Cigars,,,,,,RESERVA DE INEXPENSIVO,La Galera Connecticut,,,,
SB (Simon Beltre),,,,,,Reserva Dorado,La Galera Habano,,,,
Para Siempre,,,,,,RHUM,La Galera Maduro,,,,
Mardo,,,,,,RICOS DOMINICANOS,La Gloria Cubana,,,,
Xerez,,,,,,RIGOLETTO,La Gloria Cubana Artesanos de Miami,,,,
La Sonrisa Cigars,,,,,,ROCKY PATEL,La Gloria Cubana Cigars,,,,
Sweet Aromas by Macabi,,,,,,Rocky Patel 15th Anniversary,La Gloria Cubana Criollo De Oro,,,,
Conchita de Zarate,,,,,,Rocky Patel Accessories,La Gloria Cubana Esteli,,,,
Vega Real,,,,,,Rocky Patel Accessories,La Gloria Cubana Medio Tiempo,,,,
MD Cigars,,,,,,Rocky Patel Catch 22,La Gloria Cubana Serie R,,,,
El Gordo,,,,,,Rocky Patel Cigar Smoking World Championship,La Gloria Cubana Serie R Black,,,,
Hat's Off,,,,,,Rocky Patel Decade,La Gloria Cubana Serie R Black Maduro,,,,
Dolce Vita,,,,,,Rocky Patel Disciple,La Gloria Cubana Serie R Esteli,,,,
V Centennial (Tropical Tobacco),,,,,,Rocky Patel Fifty Five,La Gloria Cubana Serie R Esteli Maduro,,,,
Yumuri,,,,,,Rocky Patel Freedom,La Palina Nicaragua Oscuro,,,,
El Camino Dominicano,,,,,,Rocky Patel Grand Reserve,La Palina No. 1,,,,
Tabaco Ramones,,,,,,Rocky Patel Hamlet 2020,La Palina No. 2,,,,
Pantheon,,,,,,Rocky Patel LB1,La Palina Red Label,,,,
Caliber Cigar Co.,,,,,,Rocky Patel Number 6,La Primadora,,,,
VIP (by George Rico),,,,,,Rocky Patel Quarter Century,La Unica,,,,
Vault Cigars,,,,,,Rocky Patel Royale,La Vieja Habana,,,,
Fundacion Ancestral,,,,,,Rocky Patel Royale,Lars Tetens Cigars,,,,
La Flor de Java,,,,,,Rocky Patel Sixty,Lars Tetens Phat,,,,
Sir Vin Cigars,,,,,,Rocky Patel Sun Grown,Lars Tetens Serie D,,,,
El Reloj,,,,,,Rocky Patel The Edge,Lars Tetens SS,,,,
Quintero,,,,,,Rocky Patel The Edge Lite,Lars Tetens Steam Punk,,,,
RB Fundadores,,,,,,Rocky Patel Twentieth Anniversary,Lars Tetens Sutton Place,,,,
Craftman's Bench,,,,,,Rocky Patel Vintage 1990,Larutan by Drew Estate,,,,
Dolce Amaretto,,,,,,Rocky Patel Vintage 1992,linkbare,,,,
Foyle,,,,,,Rocky Patel Vintage 1999,M Bourbon by Macanudo,,,,
Pickwick,,,,,,Rocky Patel Vintage 2003,M by Macanudo,,,,
San Fernando,,,,,,Rocky Patel Vintage 2006,M Espresso by Macanudo,,,,
La Bonita,,,,,,Rocky Patel White Label,Macanudo,,,,
Old Virginia,,,,,,Rocky Patel Winter Collection,Macanudo Certified Vintage,,,,
Flor de America,,,,,,rollers choice ,Macanudo Cigars,,,,
Matador Cigars,,,,,,ROLY,Macanudo Cru Royale,,,,
Nicaragua Habanos,,,,,,ROMA CRAFT,Macanudo Gold Label,,,,
Amerino,,,,,,Romeo 505 Nicaragua by Romeo y Julieta,Macanudo Heritage Reserve,,,,
Moya,,,,,,Romeo by Romeo y Julieta,Macanudo Inspirado Black,,,,
Maravilla (Honduras),,,,,,Romeo San Andres by Romeo Y Julieta,Macanudo Inspirado Green,,,,
Jaime Garcia,,,,,,romeo y julieta ,Macanudo Inspirado Orange,,,,
Bravo,,,,,,Romeo y Julieta 1875,Macanudo Inspirado Red,,,,
898 Collection,,,,,,Romeo Y Julieta 1875 Connecticut Nicaragua,Macanudo Inspirado White,,,,
Chavelo,,,,,,romeo y julieta 1875 nicaragua ,Macanudo Maduro,,,,
Indian Fire,,,,,,romeo y julieta 1875 robolo ,Macanudo Maduro Vintage 1997,,,,
Rey Miguel,,,,,,romeo y julieta grand exhibition ,Macorix Sumatra,,,,
Old School Cigars (La Sirena),,,,,,romeo y julieta habana reserve ,Mayorga,,,,
Fonseca (Cuban),,,,,,s.t. dupont ,MBombay Cigars,,,,
Fundadores Jamaica,,,,,,SAINT LUIS REY,Mi Querida,,,,
Tampa Tropics,,,,,,Saint Luis Rey Carenas,Mi Querida Triqui Traca,,,,
Carlin,,,,,,Salvation,MJ Frias Cigars,,,,
Entourage,,,,,,SAMPLERS,Mocambo,,,,
Genuine Counterfeit,,,,,,SAN CRISTOBAL,Mombacho,,,,
Don Antonio Pellegrino,,,,,,San Cristobal Elegencia,Monte by Montecristo,,,,
DRAM (C&C cigars),,,,,,San Cristobal Quintessence,Monte by Montecristo AJ Fernandez,,,,
Cigar Family,,,,,,San Cristobal Quintessence,Montecristo,,,,
Luis Alejandro,,,,,,San Cristobal Revelation,Montecristo 1935 Anniversary Nicaragua,,,,
Canaria D'Oro,,,,,,San Lotano,Montecristo 2000,,,,
Havana Cognac,,,,,,San Lotano Dominicano,Montecristo Anejados,,,,
Lempira Puros (Honduras),,,,,,San Lotano Requiem,Montecristo Artisan Series,,,,
Verdadero,,,,,,San Lotano The Bull,Montecristo Cigars,,,,
Cuban Throwouts,,,,,,SANCHO PANZA,Montecristo Classic,,,,
Exile,,,,,,Sancho Panza Double Maduro,Montecristo Crafted by AJ Fernandez,,,,
Sabroso,,,,,,Sancho Panza Extra Fuerte,Montecristo Epic,,,,
Flor de Dominguez,,,,,,SAVOY,Montecristo Epic Craft Cured,,,,
FQ Cigars,,,,,,SCENT BOMB AIR FRESHENERS,Montecristo Epic Vintage 12,,,,
Adduci,,,,,,Scooby Snax,Montecristo Espada,,,,
Sotolongo,,,,,,SEGUNDO,Montecristo Espada Oscuro,,,,
Por Larranaga (Cuban),,,,,,Sin Compromiso,Montecristo Habana 2000,,,,
Nestor Plasencia,,,,,,SLAUGHTERHOUSE,Montecristo Vintage '93 Club Cabinet,,,,
Cuaba,,,,,,Sobremesa,Montecristo Volume 1: 100 Days,,,,
J. Grotto (Ocean State Cigars),,,,,,Sobremesa,Montecristo Volume II: The Rendezvous,,,,
Sabor Cubano (by La Tradicion Cubana),,,,,,Sobremesa Brulee,Montecristo White Series,,,,
Villa Dominicana,,,,,,Solera by Aging Room,Montecristo White Series Vintage Connecticut,,,,
Cyrilla,,,,,,SOSA,Montesino,,,,
Carl Barrister,,,,,,SOUTH BEACH FLAVORS BY NINO VASQUEZ,Moroceli,,,,
